probe_id	symbol	GSM494556.CEL	GSM494557.CEL	GSM494558.CEL	GSM494559.CEL	GSM494560.CEL	GSM494561.CEL	GSM494562.CEL	GSM494563.CEL	GSM494564.CEL	GSM494565.CEL	GSM494566.CEL	GSM494567.CEL	GSM494568.CEL	GSM494569.CEL	GSM494570.CEL	GSM494571.CEL	GSM494572.CEL	GSM494573.CEL	GSM494574.CEL	GSM494575.CEL	GSM494576.CEL	GSM494577.CEL	GSM494578.CEL	GSM494579.CEL	GSM494580.CEL	GSM494581.CEL	GSM494582.CEL	GSM494583.CEL	GSM494584.CEL	GSM494585.CEL	GSM494586.CEL	GSM494587.CEL	GSM494588.CEL	GSM494589.CEL	GSM494590.CEL	GSM494591.CEL	GSM494592.CEL	GSM494593.CEL	GSM494594.CEL	GSM494595.CEL	GSM494596.CEL	GSM494597.CEL	GSM494598.CEL	GSM494599.CEL	GSM494600.CEL	GSM494601.CEL	GSM494602.CEL	GSM494603.CEL	GSM494604.CEL	GSM494605.CEL	GSM494606.CEL	GSM494607.CEL	GSM494608.CEL	GSM494609.CEL	GSM494610.CEL	GSM494611.CEL	GSM494612.CEL	GSM494613.CEL	GSM494614.CEL	GSM494615.CEL	GSM494616.CEL	GSM494617.CEL	GSM494618.CEL	GSM494619.CEL	GSM494620.CEL	GSM494621.CEL	GSM494622.CEL	GSM494623.CEL	GSM494624.CEL	GSM494625.CEL	GSM494626.CEL	GSM494627.CEL	GSM494628.CEL	GSM494629.CEL	GSM494630.CEL	GSM494631.CEL	GSM494632.CEL	GSM494633.CEL	GSM494634.CEL	GSM494635.CEL	GSM494636.CEL	GSM494637.CEL	GSM494638.CEL	GSM494639.CEL	GSM494640.CEL	GSM494641.CEL	GSM494642.CEL	GSM494643.CEL	GSM494644.CEL	GSM494645.CEL	GSM494646.CEL	GSM494647.CEL	GSM494648.CEL	GSM494649.CEL	GSM494650.CEL	GSM494651.CEL	GSM494652.CEL	GSM494653.CEL	GSM494654.CEL	GSM494655.CEL	GSM494656.CEL	GSM494657.CEL	GSM494658.CEL	GSM494659.CEL	GSM494660.CEL	GSM494661.CEL	GSM494662.CEL	GSM494663.CEL	GSM494664.CEL	GSM494665.CEL	GSM494666.CEL	GSM494667.CEL	GSM494668.CEL	GSM494669.CEL	GSM494670.CEL	GSM494671.CEL	GSM494672.CEL	GSM494673.CEL	GSM494674.CEL	GSM494675.CEL	logFC	t	P.Value	adj.P.Val	B
1552767_a_at	HS6ST2	4.341405076	8.741192968	9.384682981	8.424786492	10.47302443	9.128355331	10.03632479	9.403063389	6.07763561	9.450040973	8.931313135	8.217362463	9.326268554	6.290707572	9.424625184	8.355142552	9.590958926	11.53171356	4.825085646	4.563484787	9.866335743	10.79981111	10.23949445	8.829271108	8.288176998	7.935168173	3.371959182	8.572539094	6.527365872	9.991284215	8.281229812	9.568893636	9.6532167	11.00079701	8.037239638	10.46366125	7.481447522	9.82176898	7.53576656	10.82410429	8.700567463	5.400218906	9.181181168	10.13588912	9.503985129	10.1652321	8.11966771	10.00746621	6.551112095	4.733407578	8.692349032	5.249879528	8.737241836	6.603436337	7.060369232	7.881578314	10.03258547	8.889177984	10.9566087	10.1616621	5.14164269	4.957078832	4.474903973	4.174999718	6.450726001	5.018208979	5.845975004	4.46418143	4.717125848	3.958778966	3.842305102	4.901237446	4.00269634	5.794317877	5.817305933	9.110317365	4.58458953	6.59468602	5.75267061	5.773182506	5.418351491	4.891718508	4.885325211	3.731001209	4.377986053	4.55121867	3.83388942	4.914145031	4.715315117	4.371511956	5.074531879	4.597727247	4.987083385	4.651785711	4.245070202	3.891397284	5.020376372	4.523597001	4.110213463	4.310233463	5.905831034	8.097760128	6.018945196	4.92649601	5.425742084	4.05675664	4.933075597	5.888017187	4.436255191	5.162713951	4.509984093	4.738562767	7.231316593	4.380297164	4.380178998	4.435179087	8.471620972	4.763378297	6.080257601	3.995162231	3.434223035	12.31940681	4.72E-23	1.32E-20	41.86793922
203980_at	FABP4	7.492337265	8.102360297	7.985894246	7.279431105	6.178605455	10.46040296	6.275423883	5.385749919	7.21004925	8.381789851	9.527947605	10.68706881	10.64560137	10.55225125	11.94755277	7.777432542	5.260118342	8.422302172	7.305529033	6.468169905	6.391941904	5.415388807	9.2371799	9.765251228	8.618117318	8.548321776	5.13400118	6.75846864	9.230902902	8.583737837	5.571833363	5.925468396	9.495930972	8.373793292	6.574915741	4.357024186	9.144512411	7.457295297	8.92789333	5.741658876	4.924079746	5.89821567	6.829501841	7.232701718	8.311765684	9.091016458	6.761189989	11.49155454	11.0244413	11.55623061	9.518904185	10.7161849	8.777035735	9.264399698	8.511879129	6.631838149	6.756919502	6.828025688	6.155858558	6.443159067	11.59247218	11.77028492	9.938654484	12.48743713	11.79123522	12.00238253	9.751640736	11.37673994	13.35150374	11.50268507	11.24641522	12.09760658	12.3426997	11.95592122	13.26352905	11.60244272	12.48882201	12.94640745	11.69979513	12.74373132	11.83265228	12.20339164	12.41399518	11.95803309	11.87379387	9.877659193	11.90170141	12.30387773	12.95864799	12.18604687	12.35395225	12.61594339	12.98160724	12.06012742	11.0594524	11.18013208	10.48148386	11.83694901	10.53763671	12.8162063	8.683616402	5.677724606	12.48875971	11.80180712	12.30229693	11.91836182	12.26342018	12.09928447	11.9686338	10.21472479	12.25979905	11.93781684	11.75340478	12.02594329	11.54887923	11.69503775	12.18595102	12.30257609	12.75477369	8.476178468	-3.773668812	-13.08373765	7.31E-25	3.28E-22	45.97712106
204273_at	EDNRB	7.924469659	6.861913676	10.16544767	7.953231117	9.015349641	8.91509458	5.012327555	6.084187605	7.159845263	7.031002751	7.939561843	8.255209527	9.25169417	10.4082108	8.280818471	6.948489323	6.32669522	6.628104988	5.788335201	5.78029945	7.731661235	6.640412943	7.543387144	7.005878104	6.594208003	8.511262946	5.486156447	4.518764722	7.614485219	5.471745911	6.658341932	5.107277461	7.470259605	6.891284695	4.523342588	4.555638053	8.492991494	8.351531429	5.959946	4.885047675	3.641908135	5.047469875	6.876254356	7.542064287	6.159909651	6.618957108	6.056016052	9.048946167	8.657078572	10.9849329	8.314731051	8.564299444	7.226204829	7.635201626	7.112190841	6.319551602	5.089485691	6.688167295	6.965907881	8.425262428	10.79069705	10.66816772	11.99706805	11.54111984	10.68015053	10.87605069	9.670238366	9.972217246	10.74885923	11.24596827	10.50017795	9.696567645	9.542828697	10.13538342	10.98963528	10.0106959	11.28447248	9.885199895	9.901538875	9.947000979	10.05128151	11.19516015	9.541501308	10.07919562	10.1519968	10.8289916	11.50350678	10.90712224	8.979061354	11.01805787	11.81649076	11.34029441	10.31853525	11.16704653	8.588099628	10.96062742	11.41982538	10.35301955	7.569639648	11.10325664	6.731390832	4.916690891	9.24399767	10.53216277	10.32491167	10.97211486	11.34166891	10.09135146	10.7399977	10.64742973	11.24026827	11.12861204	10.03176913	10.88982454	10.17089476	10.28761506	9.310150957	9.4794725	11.40538155	8.754975127	-3.208316285	-12.86576228	2.39E-24	9.27E-22	44.80949154
204320_at	COL11A1	6.055928235	5.195257574	11.15566364	4.933003388	9.966436631	5.596346322	8.774494241	11.21349106	9.142758109	10.76503704	9.091457668	7.908417346	8.32429676	4.201212742	9.356005333	10.52776457	7.442385483	8.976915249	9.464793465	6.91407935	10.11490315	11.13743758	4.823895545	11.47675337	5.951738374	5.016844619	4.872324791	11.15264663	9.022451489	5.449419975	7.429518684	9.154582957	6.854717359	11.5981665	9.125363117	6.59939777	4.746095314	7.324661219	6.452115324	10.39988941	8.916469876	10.70446914	6.962175749	4.924356475	10.505189	6.644995946	9.531406657	10.61557114	9.862730589	4.092418925	4.991289785	7.661487979	4.855816152	5.272118626	9.857287032	10.14307645	5.416713419	5.203937185	7.060819177	4.605194377	3.985022215	4.411249005	4.347614398	4.168024461	4.821094713	4.549704143	4.919780965	4.507802949	4.32374386	4.635563832	4.479777571	4.608416675	5.261093401	4.213465369	4.400468732	4.864418536	4.545517515	4.722589223	4.577598173	4.225302447	4.479011925	4.60137732	4.363898456	4.429542189	4.493387068	4.666192226	4.65489359	4.511045797	4.276129638	4.590714077	4.770144802	4.446376714	4.96282945	4.552103433	4.381724728	4.596558779	4.417066751	4.733625025	4.949746274	4.565400192	4.761985811	4.442268626	4.224891576	4.726606674	4.254965868	4.309843825	4.554290018	4.441059026	4.445289943	4.387415405	4.506798081	4.66664923	4.634619136	4.395770341	4.719386064	4.69010034	4.752458442	4.797737019	4.438415908	4.54873271	3.313781507	11.08215006	4.29E-20	5.90E-18	35.15068773
204475_at	MMP1	11.8558119	4.247944151	5.468155105	9.3079377	8.196873019	5.862064128	10.42110997	12.1917907	9.329696506	10.80433831	6.907429594	6.502564044	8.596980432	4.623553513	12.3211759	7.662253272	11.48409006	10.46482389	11.73251158	5.591141241	7.13902398	10.27337949	4.28508298	11.17901355	7.02216948	7.105668938	7.493965736	9.266211596	9.779307674	7.369899175	7.051072757	11.81704159	10.06086949	10.99859527	10.56605524	7.340842578	5.118453877	8.585815462	10.20467246	11.59741441	7.048312419	12.75029687	12.74728224	4.689726354	9.462796424	8.039748646	6.786921916	9.987227871	4.449788699	4.605873757	6.165355092	11.90069513	4.276070632	6.08798593	10.03238899	8.785521302	5.225451669	5.748852295	5.782822044	5.288799868	4.157318041	4.194244661	3.986054783	5.394841769	4.545459262	4.773887686	11.39695786	8.818422601	6.18003488	4.902798488	3.894896779	4.359134493	5.055637958	4.764086104	5.289155999	8.171683556	3.944305951	5.685538631	6.944231165	4.785662496	4.472769756	4.305713638	5.133767414	3.990710841	4.197788374	4.172875289	4.169262971	4.298695348	3.988648309	4.182287085	4.574772632	4.317882986	4.317755531	4.031809565	5.981145815	4.017982038	4.513529194	9.188787399	4.159985245	4.511282398	4.81085543	4.039602696	8.913824904	4.177363396	3.846318984	4.205188129	4.884348252	7.979913483	4.906876975	4.59294846	4.157783134	4.193743962	5.092473208	7.68634565	9.892256893	4.048204354	6.55720044	5.745635137	4.352605179	8.068553562	3.029414528	7.612155196	6.75E-12	1.63E-10	16.56697618
204580_at	MMP12	5.623176796	8.208226787	6.578788914	7.282205307	10.64842543	6.488902142	7.194446258	10.73617972	10.55433794	10.12121808	7.533040663	6.263777105	9.956610616	5.654302729	10.70943318	6.151913341	8.675449836	11.3497371	11.7739078	7.068365449	12.17919786	10.65737442	7.206792251	11.27547109	7.848238174	6.750146567	6.549762512	8.45434601	8.677649877	10.21282712	11.28165967	11.57156844	10.71180343	9.142695081	9.561319748	7.211903914	8.041882342	7.896904361	7.862831507	8.114403547	11.12504412	12.1791215	9.535022543	5.650808071	9.812468381	8.408446214	8.279460357	9.54850722	6.09185451	6.405488054	5.015628561	9.983485283	6.475014883	7.860223711	11.14580813	6.189742396	9.383565551	4.727016592	7.814703312	8.397338632	4.116159969	6.16482899	4.254280904	4.343699513	5.551574219	5.719884774	5.015843211	7.40568609	5.13349432	5.107076619	4.195249849	6.986896029	4.183567877	4.316480553	4.765073247	6.825106433	4.322321699	6.814248008	4.21329561	4.491434048	4.275131638	4.098237527	6.286227469	6.109771351	5.596451955	4.930167095	4.291183443	4.437087307	5.665072129	4.24751655	6.778555347	6.343132152	4.993782213	3.946052034	4.375502578	4.054668524	4.154331191	4.919620658	4.770936465	4.757596419	4.776234227	7.331502713	8.813603177	4.521821043	4.192344008	4.195295702	4.350089632	8.70156341	4.146170152	6.007902716	4.323785615	4.21772191	6.244276468	5.232422633	6.992044619	7.075825125	7.126191888	4.258580726	4.189017662	13.71313782	3.174053565	9.579702527	1.71E-16	1.08E-14	26.98027226
204712_at	WIF1	4.443640291	8.155641011	7.757805078	9.738725577	8.971524376	9.694302199	3.958211375	4.124286067	7.577367731	4.484766239	8.244961348	10.4316437	10.56955025	12.05513202	8.659438131	9.840956753	12.56780794	5.095152588	4.014034001	4.105680705	11.95475362	3.993773792	9.505935756	4.605208722	12.1033793	7.556658797	8.092816181	4.065948326	9.671230415	5.939895817	4.090546932	5.202051286	6.978499947	10.11113549	4.46445263	3.528111499	8.606665274	8.031539075	9.100570261	10.65459424	4.137428972	3.991378611	3.714845594	7.922625565	7.038956287	7.902974136	10.10923885	10.45093506	9.993886572	11.81448945	11.62393679	8.232031134	7.229399353	7.559220546	4.200883018	4.696548405	4.342455432	8.868129885	5.593199008	8.808775212	12.20602635	12.02630629	11.40520507	11.16370063	11.84767649	11.27849581	10.68633636	11.65387802	10.94239748	11.81580737	11.72544434	11.70870526	12.037744	11.72348349	11.39086608	11.91544869	12.58502236	11.62572485	11.84754514	11.77653605	12.36210569	12.39849678	11.73062922	11.75047706	11.95607892	11.42601823	11.72616036	11.87462255	11.68059748	12.24510033	11.64541869	12.51322524	10.71792925	12.34077963	10.6133327	11.89580339	11.35265776	11.31336382	10.65879411	11.84954877	11.25058881	4.523690073	10.78251512	11.64378589	12.41194314	11.64435072	10.96864095	11.63821949	12.23255766	11.82632984	12.11040744	10.86144519	10.70520279	10.44553025	9.403534431	10.94006128	10.98564112	11.67161196	11.61195048	3.713483752	-3.796754131	-9.591426353	1.60E-16	1.02E-14	27.04368372
205725_at	SCGB1A1	7.102245888	8.205754272	9.622054159	5.643041062	5.335537724	7.491782636	5.056998791	5.134473417	7.395572387	10.68844697	11.97006371	8.422737012	10.41222714	14.14795014	10.61690878	11.80372882	5.059029699	8.58668596	10.00385131	9.204591962	5.054217472	4.54979737	13.15233573	5.05226459	8.58499882	10.23845443	5.846084639	7.64608842	11.68940783	11.38538952	6.635209775	6.442528492	11.7608703	9.348251681	10.89546001	8.606463732	12.7014949	12.5593568	13.36982709	5.611463694	5.862031089	4.588668928	6.029335627	12.50223597	13.4150616	11.80924784	7.088654003	9.384483137	10.02564051	13.1786361	12.65178189	14.15802552	11.69594828	11.35070395	9.500137412	8.446203853	9.273667348	12.3173947	12.06477143	5.772351146	13.93311467	14.07053405	13.54386111	11.4050686	14.04673256	12.82468304	11.13066426	8.848466122	11.48068014	12.0604972	6.613947325	12.7369933	4.771281575	13.99063588	13.88861948	13.73556057	13.56046143	13.93122838	14.2092673	13.93737581	13.95250269	14.0160747	13.92928064	13.42857935	12.80496857	13.48010954	13.79628097	14.11050397	13.99038954	13.49900099	12.91946701	13.67563994	13.11910289	13.85761074	13.21070127	13.02564726	14.2498669	13.70431819	13.89099399	13.49384986	12.81766997	7.950066363	11.59246677	12.90223519	14.23958267	13.64202167	11.61570387	8.323143218	12.52360742	12.69639003	13.73430321	13.99797495	12.99408587	13.45919658	10.53796213	13.22380125	13.71901613	14.06469355	14.25989948	4.253852076	-3.421226779	-7.365595101	2.43E-11	5.29E-10	15.31087663
205866_at	FCN3	7.697895793	9.149101968	10.20340175	7.209070692	5.985010884	7.98890286	7.688422511	7.522094502	8.48060055	6.493678322	6.919452991	8.943166835	9.107047398	11.53962043	6.220888988	8.245551125	7.35322054	7.47729028	6.417760699	6.096651697	6.298027263	6.147534558	9.724634946	6.178622494	9.432734902	8.536260548	5.811356738	6.311684987	9.079259522	8.472975029	6.673265411	6.110427084	6.660962105	7.834757914	6.818764245	6.192860435	9.25740634	6.79931034	7.36943197	6.31223694	7.088362824	6.918971951	7.364104802	7.204051383	6.098472788	6.803851756	5.701268375	8.555494335	9.511492783	11.73830135	9.094944121	9.454370387	8.767893024	9.247474757	6.412449008	6.652327669	9.209786321	6.116005686	7.087101227	10.10782402	12.04481359	10.40767403	13.30594615	12.64864378	12.48391337	12.79511065	7.626301671	11.6058994	12.4941587	12.60647148	9.139906908	9.94970675	7.546976959	12.51056369	11.76844347	10.23860772	11.55798942	9.531745289	11.51756828	10.32256793	10.10732488	11.85957391	10.10625602	11.6820116	12.33554072	12.57922238	12.02723181	12.0573301	11.66565482	12.62202496	12.36366135	11.605166	10.99443479	13.03284428	8.520649212	11.11936961	12.63216348	10.81264054	9.597168387	12.63803195	8.214406387	6.830368975	9.933396701	11.38998878	11.16918713	12.69488672	12.03528811	8.924497651	11.99048284	11.99681417	13.07149072	12.82833225	11.21694904	12.27516718	10.3259682	11.76683391	12.47460383	9.146575787	12.21778096	5.81441337	-3.448047493	-12.09548246	1.61E-22	4.02E-20	40.65700048
205941_s_at	COL10A1	9.179546494	9.327033333	12.50680495	10.73094801	11.40366277	9.525669941	9.914090888	11.63761963	11.4512567	12.46463732	12.67408232	8.441559405	10.46404356	7.155703037	10.75925028	9.155088236	8.032590881	7.867986595	11.20077376	10.63645156	9.258309694	11.54488849	8.898352048	13.26115887	10.95539444	9.695044474	6.506533624	12.15872923	10.4227578	9.457695515	8.909432048	10.72639312	10.65396172	12.46087196	10.18941823	8.709066663	8.853870179	10.42353247	7.952788248	11.54734718	7.257625076	10.26369869	7.842399849	10.88412979	11.98639122	11.83778946	10.97383262	11.88102312	11.15088186	6.208953789	9.481026465	8.331417383	8.304054139	9.36627166	11.20227775	11.73817683	8.459951788	8.038477072	10.1694428	10.0861136	6.114913457	5.294254237	5.241010707	5.760870336	6.005011719	6.520145326	6.523252762	5.800839082	5.22225254	6.155225758	6.879097947	6.005293821	8.031491747	5.092248803	5.941609781	7.537487451	5.832336487	5.685567093	5.804804104	6.453948	5.734999819	6.231438802	7.100152332	5.934761691	6.050429965	6.064603978	5.956680161	6.215413383	6.717357977	6.416035533	6.265395814	5.824163715	5.829121568	5.340767871	7.00420805	6.490120391	6.91079929	6.25089395	6.194518701	6.110935341	7.187279398	6.939248951	6.084117249	6.028237536	5.471039022	7.065334047	6.152951382	6.375359815	5.496602297	6.799877775	5.698476123	6.560555846	7.076594603	6.422874672	6.695679157	6.494840152	6.115322986	6.778448402	5.900622546	6.646835282	3.800725398	17.02660018	8.04E-34	3.66E-30	66.26401799
