Sample	Type
GSM494556.CEL	Cancer
GSM494557.CEL	Cancer
GSM494558.CEL	Cancer
GSM494559.CEL	Cancer
GSM494560.CEL	Cancer
GSM494561.CEL	Cancer
GSM494562.CEL	Cancer
GSM494563.CEL	Cancer
GSM494564.CEL	Cancer
GSM494565.CEL	Cancer
GSM494566.CEL	Cancer
GSM494567.CEL	Cancer
GSM494568.CEL	Cancer
GSM494569.CEL	Cancer
GSM494570.CEL	Cancer
GSM494571.CEL	Cancer
GSM494572.CEL	Cancer
GSM494573.CEL	Cancer
GSM494574.CEL	Cancer
GSM494575.CEL	Cancer
GSM494576.CEL	Cancer
GSM494577.CEL	Cancer
GSM494578.CEL	Cancer
GSM494579.CEL	Cancer
GSM494580.CEL	Cancer
GSM494581.CEL	Cancer
GSM494582.CEL	Cancer
GSM494583.CEL	Cancer
GSM494584.CEL	Cancer
GSM494585.CEL	Cancer
GSM494586.CEL	Cancer
GSM494587.CEL	Cancer
GSM494588.CEL	Cancer
GSM494589.CEL	Cancer
GSM494590.CEL	Cancer
GSM494591.CEL	Cancer
GSM494592.CEL	Cancer
GSM494593.CEL	Cancer
GSM494594.CEL	Cancer
GSM494595.CEL	Cancer
GSM494596.CEL	Cancer
GSM494597.CEL	Cancer
GSM494598.CEL	Cancer
GSM494599.CEL	Cancer
GSM494600.CEL	Cancer
GSM494601.CEL	Cancer
GSM494602.CEL	Cancer
GSM494603.CEL	Cancer
GSM494604.CEL	Cancer
GSM494605.CEL	Cancer
GSM494606.CEL	Cancer
GSM494607.CEL	Cancer
GSM494608.CEL	Cancer
GSM494609.CEL	Cancer
GSM494610.CEL	Cancer
GSM494611.CEL	Cancer
GSM494612.CEL	Cancer
GSM494613.CEL	Cancer
GSM494614.CEL	Cancer
GSM494615.CEL	Cancer
GSM494616.CEL	Normal
GSM494617.CEL	Normal
GSM494618.CEL	Normal
GSM494619.CEL	Normal
GSM494620.CEL	Normal
GSM494621.CEL	Normal
GSM494622.CEL	Normal
GSM494623.CEL	Normal
GSM494624.CEL	Normal
GSM494625.CEL	Normal
GSM494626.CEL	Normal
GSM494627.CEL	Normal
GSM494628.CEL	Normal
GSM494629.CEL	Normal
GSM494630.CEL	Normal
GSM494631.CEL	Normal
GSM494632.CEL	Normal
GSM494633.CEL	Normal
GSM494634.CEL	Normal
GSM494635.CEL	Normal
GSM494636.CEL	Normal
GSM494637.CEL	Normal
GSM494638.CEL	Normal
GSM494639.CEL	Normal
GSM494640.CEL	Normal
GSM494641.CEL	Normal
GSM494642.CEL	Normal
GSM494643.CEL	Normal
GSM494644.CEL	Normal
GSM494645.CEL	Normal
GSM494646.CEL	Normal
GSM494647.CEL	Normal
GSM494648.CEL	Normal
GSM494649.CEL	Normal
GSM494650.CEL	Normal
GSM494651.CEL	Normal
GSM494652.CEL	Normal
GSM494653.CEL	Normal
GSM494654.CEL	Normal
GSM494655.CEL	Normal
GSM494656.CEL	Normal
GSM494657.CEL	Normal
GSM494658.CEL	Normal
GSM494659.CEL	Normal
GSM494660.CEL	Normal
GSM494661.CEL	Normal
GSM494662.CEL	Normal
GSM494663.CEL	Normal
GSM494664.CEL	Normal
GSM494665.CEL	Normal
GSM494666.CEL	Normal
GSM494667.CEL	Normal
GSM494668.CEL	Normal
GSM494669.CEL	Normal
GSM494670.CEL	Normal
GSM494671.CEL	Normal
GSM494672.CEL	Normal
GSM494673.CEL	Normal
GSM494674.CEL	Normal
GSM494675.CEL	Normal
